time_sec,ECG_I,ECG_I_filtered
0.33,-0.385,-0.065
0.332,-0.395,-0.06
0.334,-0.325,-0.06
0.336,-0.285,-0.06
0.338,-0.215,-0.06
0.34,-0.175,-0.055
0.342,-0.215,-0.05
0.344,-0.26,-0.045
0.346,-0.35,-0.035
0.348,-0.345,-0.03
0.35,-0.37,-0.025
0.352,-0.33,-0.025
0.354,-0.265,-0.02
0.356,-0.23,-0.02
0.358,-0.19,-0.02
0.36,-0.195,-0.02
0.362,-0.21,-0.015
0.364,-0.27,-0.01
0.366,-0.335,-0.005
0.368,-0.3,-0.005
0.37,-0.29,0.0
0.372,-0.295,0.0
0.374,-0.245,-0.005
0.376,-0.155,-0.01
0.378,-0.2,-0.015
0.38,-0.2,-0.015
0.382,-0.185,-0.02
0.384,-0.235,-0.02
0.386,-0.325,-0.02
0.388,-0.36,-0.015
0.39,-0.325,-0.015
0.392,-0.3,-0.01
0.394,-0.23,-0.01
0.396,-0.21,-0.005
0.398,-0.2,-0.01
0.4,-0.195,-0.01
0.402,-0.2,-0.01
0.404,-0.25,-0.01
0.406,-0.28,-0.015
0.408,-0.345,-0.015
0.41,-0.345,-0.02
0.412,-0.33,-0.02
0.414,-0.25,-0.02
0.416,-0.185,-0.025
0.418,-0.22,-0.02
0.42,-0.185,-0.02
0.422,-0.195,-0.015
0.424,-0.27,-0.005
0.426,-0.285,0.005
0.428,-0.27,0.02
0.43,-0.27,0.03
0.432,-0.225,0.04
0.434,-0.185,0.045
0.436,-0.135,0.05
0.438,-0.105,0.05
0.44,-0.165,0.045
0.442,-0.17,0.04
0.444,-0.21,0.035
0.446,-0.265,0.03
0.448,-0.275,0.025
0.45,-0.295,0.025
0.452,-0.29,0.03
0.454,-0.23,0.03
0.456,-0.15,0.04
0.458,-0.13,0.045
0.46,-0.125,0.05
0.462,-0.175,0.06
0.464,-0.18,0.065
0.466,-0.21,0.075
0.468,-0.255,0.085
0.47,-0.265,0.09
0.472,-0.165,0.095
0.474,-0.085,0.1
0.476,-0.075,0.1
0.478,-0.095,0.1
0.48,-0.145,0.095
0.482,-0.155,0.09
0.484,-0.195,0.09
0.486,-0.245,0.09
0.488,-0.19,0.09
0.49,-0.215,0.095
0.492,-0.145,0.105
0.494,-0.09,0.12
0.496,-0.065,0.135
0.498,-0.03,0.15
0.5,0.01,0.17
0.502,-0.03,0.18
0.504,-0.08,0.19
0.506,-0.145,0.195
0.508,-0.12,0.2
0.51,-0.11,0.195
0.512,-0.08,0.185
0.514,-0.075,0.18
0.516,-0.085,0.17
0.518,-0.075,0.165
0.52,0.025,0.16
0.522,-0.075,0.155
0.524,-0.12,0.155
0.526,-0.165,0.155
0.528,-0.195,0.16
0.53,-0.17,0.16
0.532,-0.065,0.16
0.534,-0.08,0.16
0.536,-0.025,0.155
0.538,-0.01,0.15
0.54,-0.025,0.145
0.542,-0.095,0.14
0.544,-0.195,0.13
0.546,-0.175,0.125
0.548,-0.225,0.12
0.55,-0.235,0.11
0.552,-0.195,0.1
0.554,-0.17,0.09
0.556,-0.105,0.075
0.558,-0.085,0.065
0.56,-0.14,0.05
0.562,-0.215,0.035
0.564,-0.28,0.025
0.566,-0.305,0.02
0.568,-0.285,0.015
0.57,-0.31,0.015
0.572,-0.265,0.015
0.574,-0.195,0.015
0.576,-0.16,0.015
0.578,-0.12,0.01
0.58,-0.185,0.005
0.582,-0.21,-0.005
0.584,-0.32,-0.015
0.586,-0.365,-0.025
0.588,-0.435,-0.035
0.59,-0.36,-0.04
0.592,-0.31,-0.045
0.594,-0.24,-0.05
0.596,-0.2,-0.045
0.598,-0.185,-0.045
0.6,-0.21,-0.04
0.602,-0.26,-0.035
0.604,-0.335,-0.03
0.606,-0.35,-0.025
0.608,-0.38,-0.025
0.61,-0.305,-0.025
0.612,-0.325,-0.03
0.614,-0.3,-0.035
0.616,-0.255,-0.04
0.618,-0.195,-0.045
0.62,-0.235,-0.055
0.622,-0.315,-0.06
0.624,-0.33,-0.06
0.626,-0.39,-0.065
0.628,-0.38,-0.065
0.63,-0.395,-0.07
0.632,-0.335,-0.07
0.634,-0.315,-0.07
0.636,-0.295,-0.07
0.638,-0.245,-0.07
0.64,-0.255,-0.065
0.642,-0.295,-0.06
0.644,-0.37,-0.055
0.646,-0.39,-0.045
0.648,-0.345,-0.035
0.65,-0.305,-0.025
0.652,-0.285,-0.02
0.654,-0.15,-0.015
0.656,-0.205,-0.015
0.658,-0.23,-0.02
0.66,-0.25,-0.03
0.662,-0.33,-0.04
0.664,-0.355,-0.05
0.666,-0.405,-0.065
0.668,-0.36,-0.07
0.67,-0.37,-0.075
0.672,-0.31,-0.075
0.674,-0.255,-0.07
0.676,-0.225,-0.06
0.678,-0.205,-0.05
0.68,-0.22,-0.045
0.682,-0.3,-0.035
0.684,-0.37,-0.03
0.686,-0.385,-0.03
0.688,-0.385,-0.03
0.69,-0.34,-0.03
0.692,-0.275,-0.03
0.694,-0.24,-0.03
0.696,-0.22,-0.03
0.698,-0.185,-0.03
0.7,-0.27,-0.03
0.702,-0.26,-0.035
0.704,-0.35,-0.035
0.706,-0.375,-0.035
0.708,-0.345,-0.03
0.71,-0.33,-0.025
0.712,-0.3,-0.02
0.714,-0.21,-0.015
0.716,-0.145,-0.005
0.718,-0.17,0.005
0.72,-0.23,0.01
0.722,-0.325,0.01
0.724,-0.3,0.005
0.726,-0.345,0.0
0.728,-0.27,-0.01
0.73,-0.315,-0.02
0.732,-0.245,-0.03
0.734,-0.28,-0.035
0.736,-0.255,-0.035
0.738,-0.205,-0.035
0.74,-0.185,-0.03
0.742,-0.285,-0.02
0.744,-0.29,-0.015
0.746,-0.35,-0.005
0.748,-0.35,-0.005
0.75,-0.345,0.0
0.752,-0.26,-0.005
0.754,-0.205,-0.005
0.756,-0.19,-0.01
0.758,-0.205,-0.015
0.76,-0.26,-0.015
0.762,-0.285,-0.015
0.764,-0.335,-0.015
0.766,-0.34,-0.015
0.768,-0.36,-0.015
0.77,-0.32,-0.02
0.772,-0.285,-0.02
0.774,-0.22,-0.02
0.776,-0.18,-0.02
0.778,-0.19,-0.015
0.78,-0.25,-0.015
0.782,-0.33,-0.015
0.784,-0.34,-0.015
0.786,-0.32,-0.015
0.788,-0.335,-0.02
0.79,-0.34,-0.02
0.792,-0.25,-0.025
0.794,-0.25,-0.03
0.796,-0.205,-0.03
0.798,-0.195,-0.03
0.8,-0.215,-0.03
0.802,-0.29,-0.03
0.804,-0.375,-0.03
0.806,-0.38,-0.03
0.808,-0.34,-0.035
0.81,-0.355,-0.04
0.812,-0.3,-0.045
0.814,-0.245,-0.05
0.816,-0.215,-0.05
0.818,-0.22,-0.05
0.82,-0.26,-0.05
0.822,-0.31,-0.045
0.824,-0.355,-0.035
0.826,-0.34,-0.025
0.828,-0.34,-0.02
0.83,-0.27,-0.015
0.832,-0.285,-0.015
0.834,-0.235,-0.02
0.836,-0.195,-0.03
0.838,-0.25,-0.04
0.84,-0.3,-0.045
0.842,-0.315,-0.05
0.844,-0.34,-0.05
0.846,-0.385,-0.05
0.848,-0.36,-0.04
0.85,-0.335,-0.035
0.852,-0.245,-0.03
0.854,-0.25,-0.025
0.856,-0.24,-0.03
0.858,-0.27,-0.035
0.86,-0.27,-0.04
0.862,-0.325,-0.05
0.864,-0.415,-0.055
0.866,-0.375,-0.06
0.868,-0.355,-0.055
0.87,-0.33,-0.05
0.872,-0.225,-0.04
0.874,-0.195,-0.03
0.876,-0.205,-0.02
0.878,-0.27,-0.015
0.88,-0.29,-0.015
0.882,-0.325,-0.02
0.884,-0.39,-0.03
0.886,-0.345,-0.04
0.888,-0.32,-0.05
0.89,-0.35,-0.055
0.892,-0.305,-0.06
0.894,-0.28,-0.06
0.896,-0.235,-0.055
0.898,-0.235,-0.05
0.9,-0.23,-0.04
0.902,-0.32,-0.03
0.904,-0.35,-0.025
0.906,-0.38,-0.02
0.908,-0.375,-0.02
0.91,-0.305,-0.025
0.912,-0.27,-0.03
0.914,-0.25,-0.035
0.916,-0.25,-0.04
0.918,-0.275,-0.04
0.92,-0.315,-0.04
0.922,-0.33,-0.035
0.924,-0.35,-0.03
0.926,-0.355,-0.025
0.928,-0.355,-0.02
0.93,-0.29,-0.02
0.932,-0.26,-0.02
0.934,-0.245,-0.025
0.936,-0.23,-0.03
0.938,-0.245,-0.035
0.94,-0.28,-0.04
0.942,-0.36,-0.04
0.944,-0.375,-0.04
0.946,-0.365,-0.04
0.948,-0.375,-0.035
0.95,-0.285,-0.035
0.952,-0.16,-0.03
0.954,-0.235,-0.03
0.956,-0.22,-0.03
0.958,-0.275,-0.03
0.96,-0.3,-0.03
0.962,-0.345,-0.03
0.964,-0.35,-0.03
0.966,-0.375,-0.03
0.968,-0.375,-0.03
0.97,-0.275,-0.025
0.972,-0.235,-0.02
0.974,-0.23,-0.02
0.976,-0.215,-0.02
0.978,-0.22,-0.025
0.98,-0.26,-0.03
0.982,-0.355,-0.03
0.984,-0.405,-0.03
0.986,-0.385,-0.025
0.988,-0.32,-0.015
0.99,-0.245,-0.005
0.992,-0.19,0.005
0.994,-0.165,0.015
0.996,-0.165,0.025
0.998,-0.2,0.025
1.0,-0.27,0.025
1.002,-0.32,0.02
1.004,-0.29,0.01
1.006,-0.305,0.0
1.008,-0.345,-0.005
1.01,-0.275,-0.005
1.012,-0.2,-0.005
1.014,-0.18,0.0
1.016,-0.19,0.005
1.018,-0.19,0.01
1.02,-0.25,0.01
1.022,-0.28,0.01
1.024,-0.27,0.005
1.026,-0.395,0.0
1.028,-0.36,-0.01
1.03,-0.25,-0.015
1.032,-0.205,-0.02
1.034,-0.2,-0.025
1.036,-0.255,-0.025
1.038,-0.305,-0.025
1.04,-0.365,-0.025
1.042,-0.35,-0.03
1.044,-0.35,-0.03
1.046,-0.36,-0.035
1.048,-0.345,-0.04
1.05,-0.285,-0.045
1.052,-0.255,-0.045
1.054,-0.23,-0.05
1.056,-0.25,-0.05
1.058,-0.275,-0.045
1.06,-0.345,-0.045
1.062,-0.36,-0.035
1.064,-0.345,-0.03
1.066,-0.355,-0.025
1.068,-0.31,-0.02
1.07,-0.22,-0.015
1.072,-0.245,-0.015
1.074,-0.18,-0.01
1.076,-0.22,-0.01
1.078,-0.23,-0.015
1.08,-0.29,-0.02
1.082,-0.415,-0.025
1.084,-0.405,-0.035
1.086,-0.4,-0.045
1.088,-0.355,-0.055
1.09,-0.26,-0.06
1.092,-0.26,-0.065
1.094,-0.255,-0.07
1.096,-0.27,-0.075
1.098,-0.315,-0.075
1.1,-0.375,-0.08
1.102,-0.455,-0.08
1.104,-0.42,-0.075
1.106,-0.385,-0.07
1.108,-0.35,-0.06
1.11,-0.26,-0.04
1.112,-0.24,-0.01
1.114,-0.18,0.03
1.116,-0.085,0.08
1.118,-0.06,0.14
1.12,-0.075,0.205
1.122,-0.065,0.27
1.124,0.015,0.325
1.126,0.125,0.365
1.128,0.14,0.385
1.13,0.16,0.38
1.132,0.125,0.35
1.134,-0.005,0.29
1.136,-0.055,0.215
1.138,-0.105,0.12
1.14,-0.24,0.025
1.142,-0.375,-0.065
1.144,-0.475,-0.145
1.146,-0.62,-0.205
1.148,-0.63,-0.24
1.15,-0.455,-0.26
1.152,-0.475,-0.255
1.154,-0.5,-0.24
1.156,-0.395,-0.215
1.158,-0.42,-0.19
1.16,-0.455,-0.165
1.162,-0.52,-0.145
1.164,-0.485,-0.13
1.166,-0.455,-0.12
1.168,-0.37,-0.115
1.17,-0.335,-0.11
1.172,-0.27,-0.105
1.174,-0.25,-0.095
1.176,-0.265,-0.085
1.178,-0.325,-0.07
1.18,-0.375,-0.06
1.182,-0.41,-0.045
1.184,-0.39,-0.035
1.186,-0.37,-0.025
1.188,-0.26,-0.02
1.19,-0.215,-0.015
1.192,-0.21,-0.015
1.194,-0.265,-0.015
1.196,-0.235,-0.015
1.198,-0.275,-0.015
1.2,-0.31,-0.01
1.202,-0.33,-0.01
1.204,-0.345,0.0
1.206,-0.31,0.005
1.208,-0.235,0.015
1.21,-0.2,0.02
1.212,-0.2,0.025
1.214,-0.225,0.03
1.216,-0.155,0.03
1.218,-0.235,0.03
1.22,-0.305,0.025
1.222,-0.295,0.02
1.224,-0.315,0.015
1.226,-0.29,0.01
1.228,-0.315,0.0
1.23,-0.26,-0.005
1.232,-0.19,-0.01
1.234,-0.19,-0.015
1.236,-0.22,-0.015
1.238,-0.335,-0.02
1.24,-0.315,-0.015
1.242,-0.365,-0.01
1.244,-0.37,-0.005
1.246,-0.32,0.005
1.248,-0.225,0.015
1.25,-0.175,0.025
1.252,-0.15,0.03
1.254,-0.185,0.03
1.256,-0.18,0.03
1.258,-0.26,0.025
1.26,-0.345,0.015
1.262,-0.34,0.01
1.264,-0.345,0.0
1.266,-0.3,0.0
1.268,-0.25,-0.005
1.27,-0.205,0.0
1.272,-0.13,0.005
1.274,-0.17,0.015
1.276,-0.2,0.025
1.278,-0.25,0.03
1.28,-0.275,0.04
1.282,-0.3,0.045
1.284,-0.295,0.045
1.286,-0.235,0.05
1.288,-0.195,0.05
1.29,-0.14,0.055
1.292,-0.13,0.055
1.294,-0.145,0.06
1.296,-0.15,0.06
1.298,-0.2,0.06
1.3,-0.285,0.06
1.302,-0.35,0.06
1.304,-0.275,0.06
1.306,-0.25,0.055
1.308,-0.175,0.055
1.31,-0.16,0.05
1.312,-0.145,0.05
1.314,-0.12,0.055
1.316,-0.13,0.06
1.318,-0.235,0.07
1.32,-0.255,0.075
1.322,-0.24,0.085
1.324,-0.19,0.095
1.326,-0.235,0.1
1.328,-0.125,0.105
1.33,-0.06,0.11
1.332,-0.075,0.115
1.334,-0.115,0.115
1.336,-0.125,0.12
1.338,-0.14,0.125
1.34,-0.205,0.13
1.342,-0.24,0.135
1.344,-0.15,0.14
1.346,-0.155,0.145
1.348,-0.125,0.15
1.35,-0.07,0.155
1.352,-0.02,0.165
1.354,0.02,0.17
1.356,0.03,0.18
1.358,-0.1,0.19
1.36,-0.115,0.195
1.362,-0.13,0.2
1.364,-0.12,0.2
1.366,-0.12,0.195
1.368,-0.07,0.185
1.37,-0.045,0.17
1.372,-0.055,0.16
1.374,-0.055,0.15
1.376,-0.06,0.14
1.378,-0.115,0.14
1.38,-0.2,0.145
1.382,-0.195,0.155
1.384,-0.15,0.16
1.386,-0.15,0.17
1.388,-0.05,0.17
1.39,-0.02,0.165
1.392,-0.065,0.155
1.394,-0.06,0.14
1.396,-0.075,0.125
1.398,-0.19,0.105
1.4,-0.225,0.09
1.402,-0.275,0.075
1.404,-0.24,0.065
1.406,-0.24,0.06
1.408,-0.18,0.055
1.41,-0.18,0.045
1.412,-0.15,0.035
1.414,-0.185,0.025
1.416,-0.24,0.01
1.418,-0.355,0.0
1.42,-0.33,-0.01
1.422,-0.3,-0.015
1.424,-0.31,-0.01
1.426,-0.295,-0.005
1.428,-0.24,0.0
1.43,-0.22,0.01
1.432,-0.19,0.015
1.434,-0.19,0.02
1.436,-0.245,0.02
1.438,-0.295,0.015
1.44,-0.335,0.005
1.442,-0.36,-0.005
1.444,-0.325,-0.01
1.446,-0.285,-0.015
1.448,-0.21,-0.02
1.45,-0.25,-0.02
1.452,-0.24,-0.015
1.454,-0.23,-0.015
1.456,-0.225,-0.015
1.458,-0.305,-0.015
1.46,-0.345,-0.02
1.462,-0.365,-0.025
1.464,-0.365,-0.03
1.466,-0.32,-0.035
1.468,-0.265,-0.04
1.47,-0.245,-0.04
1.472,-0.2,-0.035
1.474,-0.205,-0.035
1.476,-0.265,-0.035
1.478,-0.335,-0.03
1.48,-0.375,-0.035
1.482,-0.39,-0.04
1.484,-0.38,-0.045
1.486,-0.325,-0.055
1.488,-0.26,-0.06
1.49,-0.255,-0.065
1.492,-0.24,-0.07
1.494,-0.295,-0.065
1.496,-0.28,-0.055
1.498,-0.315,-0.05
1.5,-0.38,-0.035
1.502,-0.39,-0.025
1.504,-0.33,-0.02
1.506,-0.275,-0.015
1.508,-0.245,-0.015
1.51,-0.225,-0.015
1.512,-0.225,-0.02
1.514,-0.27,-0.025
1.516,-0.33,-0.03
1.518,-0.315,-0.035
1.52,-0.36,-0.035
1.522,-0.39,-0.04
1.524,-0.365,-0.04
1.526,-0.295,-0.04
1.528,-0.235,-0.04
1.53,-0.205,-0.04
1.532,-0.25,-0.035
1.534,-0.27,-0.035
1.536,-0.28,-0.03
1.538,-0.29,-0.025
1.54,-0.35,-0.02
1.542,-0.375,-0.015
1.544,-0.305,-0.01
1.546,-0.235,-0.005
1.548,-0.235,-0.005
1.55,-0.195,0.0
1.552,-0.205,0.0
1.554,-0.18,0.0
1.556,-0.255,0.0
1.558,-0.335,0.0
1.56,-0.345,-0.005
1.562,-0.3,-0.005
1.564,-0.32,-0.01
1.566,-0.325,-0.015
1.568,-0.225,-0.02
1.57,-0.17,-0.025
1.572,-0.21,-0.03
1.574,-0.225,-0.03
1.576,-0.315,-0.03
1.578,-0.325,-0.025
1.58,-0.335,-0.02
1.582,-0.365,-0.01
1.584,-0.34,0.0
1.586,-0.235,0.005
1.588,-0.2,0.01
1.59,-0.19,0.01
1.592,-0.195,0.005
1.594,-0.215,0.0
1.596,-0.255,-0.01
1.598,-0.355,-0.015
1.6,-0.36,-0.02
1.602,-0.345,-0.025
1.604,-0.31,-0.025
1.606,-0.23,-0.02
1.608,-0.195,-0.015
1.61,-0.205,-0.01
1.612,-0.235,-0.01
1.614,-0.245,-0.01
1.616,-0.305,-0.01
1.618,-0.315,-0.015
1.62,-0.35,-0.02
1.622,-0.36,-0.02
1.624,-0.31,-0.02
1.626,-0.24,-0.02
1.628,-0.21,-0.015
1.63,-0.165,-0.01
1.632,-0.205,-0.01
1.634,-0.23,-0.005
1.636,-0.3,-0.01
1.638,-0.34,-0.015
1.64,-0.345,-0.02
1.642,-0.305,-0.025
1.644,-0.32,-0.03
1.646,-0.26,-0.03
1.648,-0.21,-0.025
1.65,-0.16,-0.02
1.652,-0.19,-0.01
1.654,-0.23,0.0
1.656,-0.295,0.005
1.658,-0.35,0.01
1.66,-0.35,0.005
1.662,-0.345,-0.005
1.664,-0.3,-0.015
1.666,-0.26,-0.025
1.668,-0.205,-0.035
1.67,-0.22,-0.04
1.672,-0.22,-0.045
1.674,-0.28,-0.04
1.676,-0.305,-0.04
1.678,-0.34,-0.03
1.68,-0.335,-0.025
1.682,-0.35,-0.02
1.684,-0.315,-0.015
1.686,-0.28,-0.015
1.688,-0.21,-0.015
1.69,-0.21,-0.015
1.692,-0.22,-0.015
1.694,-0.245,-0.015
1.696,-0.3,-0.015
1.698,-0.28,-0.01
1.7,-0.335,-0.005
1.702,-0.345,0.0
1.704,-0.3,0.005
1.706,-0.195,0.005
1.708,-0.16,0.005
1.71,-0.13,-0.005
1.712,-0.245,-0.01
1.714,-0.28,-0.02
1.716,-0.335,-0.03
1.718,-0.38,-0.04
1.72,-0.36,-0.045
1.722,-0.345,-0.045
1.724,-0.305,-0.04
1.726,-0.245,-0.035
1.728,-0.215,-0.025
1.73,-0.21,-0.02
1.732,-0.195,-0.015
1.734,-0.285,-0.01
1.736,-0.295,-0.015
1.738,-0.305,-0.02
1.74,-0.34,-0.025
1.742,-0.3,-0.035
1.744,-0.32,-0.04
1.746,-0.32,-0.045
1.748,-0.25,-0.05
1.75,-0.225,-0.05
1.752,-0.21,-0.05
1.754,-0.28,-0.045
1.756,-0.335,-0.045
1.758,-0.34,-0.04
1.76,-0.37,-0.04
1.762,-0.35,-0.04
1.764,-0.3,-0.04
1.766,-0.27,-0.04
1.768,-0.22,-0.035
1.77,-0.175,-0.03
1.772,-0.235,-0.025
1.774,-0.22,-0.02
1.776,-0.3,-0.01
1.778,-0.315,-0.005
1.78,-0.325,-0.005
1.782,-0.34,-0.005
1.784,-0.27,-0.01
1.786,-0.18,-0.015
1.788,-0.23,-0.025
1.79,-0.23,-0.035
1.792,-0.23,-0.04
1.794,-0.26,-0.045
1.796,-0.355,-0.045
1.798,-0.34,-0.04
1.8,-0.365,-0.035
1.802,-0.33,-0.03
1.804,-0.3,-0.02
1.806,-0.225,-0.015
1.808,-0.19,-0.015
1.81,-0.21,-0.01
1.812,-0.245,-0.015
1.814,-0.245,-0.02
1.816,-0.3,-0.03
1.818,-0.385,-0.035
1.82,-0.385,-0.04
1.822,-0.355,-0.045
1.824,-0.29,-0.04
1.826,-0.205,-0.04
1.828,-0.185,-0.03
1.83,-0.18,-0.025
1.832,-0.22,-0.015
1.834,-0.255,-0.01
1.836,-0.345,-0.01
1.838,-0.34,-0.01
1.84,-0.355,-0.015
1.842,-0.325,-0.025
1.844,-0.305,-0.035
1.846,-0.25,-0.04
1.848,-0.19,-0.045
1.85,-0.17,-0.045
1.852,-0.21,-0.04
1.854,-0.25,-0.03
1.856,-0.315,-0.015
1.858,-0.365,-0.005
1.86,-0.33,0.005
1.862,-0.27,0.015
1.864,-0.18,0.015
1.866,-0.185,0.01
1.868,-0.19,0.005
1.87,-0.195,0.0
1.872,-0.205,-0.005
1.874,-0.28,-0.01
1.876,-0.305,-0.005
1.878,-0.3,0.0
1.88,-0.305,0.005
1.882,-0.26,0.015
1.884,-0.225,0.02
1.886,-0.17,0.025
1.888,-0.135,0.025
1.89,-0.135,0.02
1.892,-0.21,0.015
1.894,-0.25,0.01
1.896,-0.275,0.005
1.898,-0.35,0.0
1.9,-0.32,0.0
1.902,-0.295,-0.005
1.904,-0.22,-0.005
1.906,-0.155,-0.01
1.908,-0.165,-0.015
1.91,-0.225,-0.025
1.912,-0.265,-0.035
1.914,-0.295,-0.04
1.916,-0.37,-0.05
1.918,-0.37,-0.05
1.92,-0.37,-0.05
1.922,-0.345,-0.05
1.924,-0.25,-0.04
1.926,-0.23,-0.035
1.928,-0.195,-0.03
1.93,-0.2,-0.025
1.932,-0.25,-0.025
1.934,-0.315,-0.025
1.936,-0.38,-0.035
1.938,-0.365,-0.04
1.94,-0.33,-0.05
1.942,-0.33,-0.055
1.944,-0.245,-0.06
1.946,-0.19,-0.06
1.948,-0.225,-0.055
1.95,-0.225,-0.05
1.952,-0.255,-0.045
1.954,-0.3,-0.035
1.956,-0.34,-0.03
1.958,-0.305,-0.025
1.96,-0.32,-0.025
1.962,-0.32,-0.025
1.964,-0.245,-0.025
1.966,-0.19,-0.03
1.968,-0.145,-0.035
1.97,-0.22,-0.045
1.972,-0.325,-0.055
1.974,-0.375,-0.065
1.976,-0.325,-0.07
1.978,-0.4,-0.08
1.98,-0.385,-0.08
1.982,-0.32,-0.07
1.984,-0.22,-0.045
1.986,-0.17,-0.01
1.988,-0.145,0.04
1.99,-0.055,0.105
1.992,-0.025,0.175
1.994,-0.025,0.245
1.996,0.035,0.31
1.998,0.095,0.365
2.0,0.14,0.39
2.002,0.185,0.395
2.004,0.225,0.37
2.006,0.18,0.32
2.008,-0.015,0.25
2.01,-0.115,0.165
2.012,-0.165,0.07
2.014,-0.315,-0.025
2.016,-0.405,-0.11
2.018,-0.505,-0.18
2.02,-0.625,-0.235
2.022,-0.58,-0.275
2.024,-0.48,-0.29
2.026,-0.42,-0.29
2.028,-0.4,-0.27
2.03,-0.4,-0.245
2.032,-0.38,-0.21
2.034,-0.43,-0.175
2.036,-0.505,-0.145
2.038,-0.485,-0.12
2.04,-0.38,-0.1
2.042,-0.275,-0.085
